#,config,g,E,Eth_eV,n,Zeff,Eth_nm
254,5p5.(2P*<3/2>).15d,5.0,12.044018,0.085826,15,1,14446.062531
255,5p5.(2P*<3/2>).15d,7.0,12.044462,0.085381,15,1,14521.235731
256,5p5.(2P*<3/2>).15d,3.0,12.046823,0.083021,15,1,14934.130697
257,5p5.(2P*<3/2>).13f,3.0,12.048640,0.081204,13,1,15268.294232
258,5p5.(2P*<3/2>).13f,5.0,12.048710,0.081134,13,1,15281.467311
259,5p5.(2P*<3/2>).13f,5.0,12.048970,0.080874,13,1,15330.595538
260,5p5.(2P*<3/2>).17s,5.0,12.049072,0.080772,17,1,15349.879282
261,5p5.(2P*<3/2>).13f,7.0,12.049080,0.080764,13,1,15351.475778
262,5p5.(2P*<3/2>).17s,3.0,12.049419,0.080424,17,1,15416.222474
263,5p5.(2P*<3/2>).17p,3.0,12.054170,0.075674,17,1,16384.053962
264,5p5.(2P*<3/2>).17p,5.0,12.054550,0.075294,17,1,16466.742693
265,5p5.(2P*<3/2>).16d,1.0,12.054758,0.075086,16,1,16512.314354
266,5p5.(2P*<3/2>).16d,3.0,12.055050,0.074794,16,1,16576.823774
267,5p5.(2P*<3/2>).17p,5.0,12.055190,0.074654,17,1,16607.910718
268,5p5.(2P*<3/2>).16d,9.0,12.055407,0.074436,16,1,16656.416081
269,5p5.(2P*<3/2>).16d,5.0,12.055526,0.074317,16,1,16683.109487
270,5p5.(2P*<3/2>).16d,7.0,12.055762,0.074082,16,1,16736.076028
271,5p5.(2P*<3/2>).17p,1.0,12.055950,0.073894,17,1,16778.723820
272,5p5.(2P*<3/2>).16d,5.0,12.056179,0.073665,16,1,16830.860660
273,5p5.(2P*<3/2>).16d,7.0,12.056411,0.073432,16,1,16884.150222
274,5p5.(2P*<3/2>).16d,3.0,12.058392,0.071452,16,1,17352.096293
275,5p5.(2P*<3/2>).14f,3.0,12.059800,0.070044,14,1,17700.977880
276,5p5.(2P*<3/2>).14f,5.0,12.059940,0.069904,14,1,17736.428606
277,5p5.(2P*<3/2>).14f,5.0,12.060120,0.069724,14,1,17782.217300
278,5p5.(2P*<3/2>).18s,5.0,12.060215,0.069629,18,1,17806.504573
279,5p5.(2P*<3/2>).18s,3.0,12.060494,0.069349,18,1,17878.193385
280,5p5.(2P*<3/2>).18p,3.0,12.064310,0.065534,18,1,18919.151281
281,5p5.(2P*<3/2>).18p,5.0,12.064640,0.065204,18,1,19014.902288
282,5p5.(2P*<3/2>).17d,1.0,12.064790,0.065054,17,1,19058.746610
283,5p5.(2P*<3/2>).17d,3.0,12.065000,0.064844,17,1,19120.469442
284,5p5.(2P*<3/2>).18p,5.0,12.065150,0.064694,18,1,19164.802513
285,5p5.(2P*<3/2>).17d,9.0,12.065308,0.064536,17,1,19211.722881
286,5p5.(2P*<3/2>).17d,5.0,12.065397,0.064447,17,1,19238.134599
287,5p5.(2P*<3/2>).17d,7.0,12.065591,0.064253,17,1,19296.220483
288,5p5.(2P*<3/2>).18p,1.0,12.065750,0.064094,18,1,19344.209873
289,5p5.(2P*<3/2>).17d,5.0,12.065927,0.063916,17,1,19397.839123
290,5p5.(2P*<3/2>).17d,7.0,12.066217,0.063626,17,1,19486.282177
291,5p5.(2P*<3/2>).17d,3.0,12.067704,0.062140,17,1,19952.525995
292,5p5.(2P*<3/2>).15f,3.0,12.068910,0.060934,15,1,20347.393714
293,5p5.(2P*<3/2>).15f,5.0,12.068980,0.060864,15,1,20370.795471
294,5p5.(2P*<3/2>).15f,5.0,12.069180,0.060664,15,1,20437.955224
295,5p5.(2P*<3/2>).19s,5.0,12.069202,0.060642,19,1,20445.369842
296,5p5.(2P*<3/2>).19s,3.0,12.069435,0.060409,19,1,20524.092965
297,5p5.(2P*<3/2>).19p,3.0,12.072540,0.057304,19,1,21636.333855
298,5p5.(2P*<3/2>).19p,5.0,12.072800,0.057044,19,1,21734.950298
299,5p5.(2P*<3/2>).18d,1.0,12.072910,0.056934,18,1,21776.943784
300,5p5.(2P*<3/2>).18d,3.0,12.073107,0.056737,18,1,21852.557240
301,5p5.(2P*<3/2>).19p,5.0,12.073230,0.056614,19,1,21900.034520
302,5p5.(2P*<3/2>).18d,9.0,12.073357,0.056487,18,1,21949.117309
303,5p5.(2P*<3/2>).18d,5.0,12.073424,0.056420,18,1,21975.299174
304,5p5.(2P*<3/2>).18d,7.0,12.073586,0.056258,18,1,22038.500912
305,5p5.(2P*<3/2>).19p,1.0,12.073710,0.056134,19,1,22087.302001
306,5p5.(2P*<3/2>).18d,5.0,12.073861,0.055983,18,1,22146.956358
307,5p5.(2P*<3/2>).18d,7.0,12.074100,0.055743,18,1,22241.991133
308,5p5.(2P*<3/2>).18d,3.0,12.075310,0.054533,18,1,22735.460916
309,5p5.(2P*<3/2>).16f,3.0,12.076330,0.053514,16,1,23168.683614
310,5p5.(2P*<3/2>).16f,5.0,12.076360,0.053484,16,1,23181.679359
311,5p5.(2P*<3/2>).16f,5.0,12.076530,0.053314,16,1,23255.598173
312,5p5.(2P*<3/2>).20s,5.0,12.076555,0.053289,20,1,23266.508365
313,5p5.(2P*<3/2>).20s,3.0,12.076750,0.053094,20,1,23351.872519
314,5p5.(2P*<3/2>).20p,5.0,12.079540,0.050304,20,1,24647.133001
315,5p5.(2P*<3/2>).19d,1.0,12.079610,0.050234,19,1,24681.478456
316,5p5.(2P*<3/2>).19d,3.0,12.079778,0.050066,19,1,24764.398325
317,5p5.(2P*<3/2>).20p,5.0,12.079900,0.049944,20,1,24824.792403
318,5p5.(2P*<3/2>).19d,9.0,12.079988,0.049855,19,1,24868.810023
319,5p5.(2P*<3/2>).19d,5.0,12.080041,0.049803,19,1,24894.875707
320,5p5.(2P*<3/2>).19d,7.0,12.080177,0.049667,19,1,24963.043631
321,5p5.(2P*<3/2>).20p,1.0,12.080300,0.049544,20,1,25025.219843
322,5p5.(2P*<3/2>).19d,5.0,12.080405,0.049439,19,1,25078.369462
323,5p5.(2P*<3/2>).19d,7.0,12.080604,0.049239,19,1,25179.978235
324,5p5.(2P*<3/2>).19d,3.0,12.081602,0.048241,19,1,25700.841070
325,5p5.(2P*<3/2>).17f,3.0,12.082460,0.047384,17,1,26166.001902
326,5p5.(2P*<3/2>).17f,5.0,12.082530,0.047314,17,1,26204.714160
327,5p5.(2P*<3/2>).17f,5.0,12.082660,0.047184,17,1,26276.913094
328,5p5.(2P*<3/2>).20d,1.0,12.085190,0.044654,20,1,27765.716712
329,5p5.(2P*<3/2>).20d,3.0,12.085339,0.044505,20,1,27858.550055
330,5p5.(2P*<3/2>).20d,9.0,12.085517,0.044327,20,1,27970.608716
331,5p5.(2P*<3/2>).20d,5.0,12.085558,0.044285,20,1,27996.693809
332,5p5.(2P*<3/2>).20d,7.0,12.085674,0.044170,20,1,28069.775511
333,5p5.(2P*<3/2>).20d,5.0,12.085865,0.043979,20,1,28191.938450
334,5p5.(2P*<3/2>).20d,7.0,12.086033,0.043811,20,1,28300.045750
335,5p5.(2P*<3/2>).20d,3.0,12.086866,0.042978,20,1,28848.629733
336,5p5.(2P*<3/2>).18f,3.0,12.087590,0.042254,18,1,29342.802745
337,5p5.(2P*<3/2>).18f,5.0,12.087650,0.042194,18,1,29384.528599
338,5p5.(2P*<3/2>).18f,5.0,12.087750,0.042094,18,1,29454.336025
339,5p5.(2P*<3/2>).19f,3.0,12.091940,0.037904,19,1,32710.315466
340,5p5.(2P*<3/2>).19f,5.0,12.09199,0.037854,19,1,32753.521699
341,5p5.(2P*<3/2>).19f,5.0,12.09208,0.037764,19,1,32831.581236
342,5p5.(2P*<3/2>).20f,3.0,12.09564,0.034204,20,1,36248.767950
343,5p5.(2P*<1/2>).7p,3.0,12.25646,1.179807,7,1,1050.885695
344,5p5.(2P*<1/2>).7p,3.0,12.28098,1.155287,7,1,1073.189871
