#,config,g,E,Eth_eV,n,Zeff,Eth_nm
279,3s2.3p5.(2P*<3/2>).11d,9.0,15.638792,0.120820,11,1,10261.902090
280,3s2.3p5.(2P*<3/2>).11d,7.0,15.641168,0.118444,11,1,10467.757177
281,3s2.3p5.(2P*<3/2>).11d,5.0,15.641868,0.117744,11,1,10529.989106
282,3s2.3p5.(2P*<1/2>).7d,3.0,15.642080,0.295026,7,1,4202.489778
283,3s2.3p5.(2P*<3/2>).11d,5.0,15.642147,0.117465,11,1,10554.999701
284,3s2.3p5.(2P*<3/2>).11d,7.0,15.642246,0.117366,11,1,10563.903010
285,3s2.3p5.(2P*<3/2>).13s,5.0,15.644102,0.115510,13,1,10733.642608
286,3s2.3p5.(2P*<3/2>).13s,3.0,15.644470,0.115142,13,1,10767.947935
287,3s2.3p5.(2P*<1/2>).9s,1.0,15.647151,0.289955,9,1,4275.986895
288,3s2.3p5.(2P*<3/2>).11d,3.0,15.647310,0.112302,11,1,11040.258307
289,3s2.3p5.(2P*<3/2>).11f,7.0,15.648230,0.111382,11,1,11131.449404
290,3s2.3p5.(2P*<3/2>).11f,5.0,15.648230,0.111382,11,1,11131.449404
291,3s2.3p5.(2P*<3/2>).11f,3.0,15.648230,0.111382,11,1,11131.449404
292,3s2.3p5.(2P*<3/2>).11f,5.0,15.648230,0.111382,11,1,11131.449404
293,3s2.3p5.(2P*<1/2>).9s,3.0,15.648234,0.288872,9,1,4292.017873
294,3s2.3p5.(2P*<3/2>).13p,5.0,15.653410,0.106202,13,1,11674.386092
295,3s2.3p5.(2P*<3/2>).13p,5.0,15.653920,0.105692,13,1,11730.719046
296,3s2.3p5.(2P*<3/2>).13p,1.0,15.655500,0.104112,13,1,11908.744191
297,3s2.3p5.(2P*<3/2>).12d,1.0,15.656894,0.102718,12,1,12070.359541
298,3s2.3p5.(2P*<3/2>).12d,3.0,15.658293,0.101319,12,1,12237.025711
299,3s2.3p5.(2P*<1/2>).7f,7.0,15.658563,0.278543,7,1,4451.175775
300,3s2.3p5.(2P*<1/2>).7f,9.0,15.658565,0.278541,7,1,4451.207735
301,3s2.3p5.(2P*<1/2>).7f,7.0,15.658581,0.278525,7,1,4451.463438
302,3s2.3p5.(2P*<1/2>).7f,5.0,15.658600,0.278506,7,1,4451.767122
303,3s2.3p5.(2P*<3/2>).12d,9.0,15.658675,0.100937,12,1,12283.337257
304,3s2.3p5.(2P*<1/2>).7h,11.0,15.659364,0.277742,7,1,4464.012858
305,3s2.3p5.(2P*<1/2>).7h,13.0,15.659364,0.277742,7,1,4464.012858
306,3s2.3p5.(2P*<1/2>).7h,11.0,15.659394,0.277712,7,1,4464.495086
307,3s2.3p5.(2P*<1/2>).7h,9.0,15.659394,0.277712,7,1,4464.495086
308,3s2.3p5.(2P*<3/2>).12d,5.0,15.659522,0.100090,12,1,12387.283675
309,3s2.3p5.(2P*<3/2>).12d,7.0,15.659853,0.099759,12,1,12428.384679
310,3s2.3p5.(2P*<3/2>).12d,5.0,15.660823,0.098789,12,1,12550.417955
311,3s2.3p5.(2P*<3/2>).12d,7.0,15.661188,0.098424,12,1,12596.960538
